minute 2032
mu 03BC
multiply 00D7
n 006E
nine 0039
notelement 2209
notequal 2260
notsubset 2284
ntilde 00F1
nu 03BD
numbersign 0023
o 006F
oacute 00F3
ocircumflex 00F4
odieresis 00F6
oe 0153
ogonek 02DB
ograve 00F2
omega 03C9
omega1 03D6
omicron 03BF
one 0031
onehalf 00BD
onequarter 00BC
onesuperior 00B9
ordfeminine 00AA
ordmasculine 00BA
oslash 00F8
otilde 00F5
p 0070
paragraph 00B6
parenleft 0028
parenleftbt F8ED
parenleftex F8EC
parenlefttp F8EB
parenright 0029
parenrightbt F8F8
parenrightex F8F7
parenrighttp F8F6
partialdiff 2202
percent 0025
period 002E
periodcentered 00B7
perpendicular 22A5
perthousand 2030
phi 03C6
phi1 03D5
pi 03C0
plus 002B
plusminus 00B1
product 220F
propersubset 2282
propersuperset 2283
proportional 221D
psi 03C8
q 0071
question 003F
questiondown 00BF
quotedbl 0022
quotedblbase 201E
quotedblleft 201C
quotedblright 201D
quoteleft 2018
quoteright 2019
quotesinglbase 201A
quotesingle 0027
r 0072
radical 221A
radicalex F8E5
reflexsubset 2286
reflexsuperset 2287
registered 00AE
registersans F8E8
registerserif F6DA
rho 03C1
ring 02DA
s 0073
scaron 0161
second 2033
section 00A7
semicolon 003B
seven 0037
sigma 03C3
sigma1 03C2
similar 223C
six 0036
slash 002F
space 00A0
spade 2660
sterling 00A3
suchthat 220B
summation 2211
t 0074
tau 03C4
therefore 2234
theta 03B8
theta1 03D1
thorn 00FE
three 0033
threequarters 00BE
threesuperior 00B3
tilde 02DC
trademark 2122
trademarksans F8EA
trademarkserif F6DB
two 0032
twosuperior 00B2
u 0075
uacute 00FA
ucircumflex 00FB
udieresis 00FC
ugrave 00F9
underscore 005F
union 222A
universal 2200
upsilon 03C5
v 0076
w 0077
weierstrass 2118
x 0078
xi 03BE
y 0079
yacute 00FD
ydieresis 00FF
yen 00A5
z 007A
zcaron 017E
zero 0030
zeta 03B6
